,generation,score,fatemol,smiles,fate,mol
171,18,0.89,,Clc1ncccc1CCCc1ccc(CC2CC2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbe700>
172,18,0.82,,CC(=O)CNCCCCC(=O)COCCCC=C(C)C,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc947c0>
173,18,0.71,,C.CSCC(=CO)CCOC(O)Cc1cccc(Cl)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc94ae0>
174,18,0.66,,CCC1OC(C(C)Cc2cccc(C(C)N)c2)C2OC12,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd8090>
175,18,0.68,,CC1NCNC1C#Cc1cccc(C(=O)N(C)C)c1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcdcbd0>
176,18,0.57,,CCCCCSC(=O)C1CC2C1N2C(C)(O)CC1CO1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19030>
177,18,0.56,,CCCN(C=C=CCO)C=CNC1CCSCC(C)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcdcae0>
178,18,0.66,,N=C1CC=CCC=C1CC=CC(=O)NC(CF)C(=O)O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b240>
179,18,0.57,,O=COC(CC(S)CC(=O)CC1CCCS1)C(O)CO,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f94e0>
180,19,0.84,,CCCCc1ccc(SCCc2cccnc2C)cn1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbcc20>
181,19,0.64,,C=C1CC1CC(=O)OC1CC1(C)CCCCCC(C)O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbe480>
182,19,0.82,,CC1=CCCC=C(CNCc2ccc(N(C)C)cc2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd99e0>
183,19,0.74,,CCC(CCNC(O)Cc1cccc(Cl)c1)C1CC1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc65ee0>
184,19,0.69,,CC1NCNC1C=Cc1cccc(C(=O)N(C)C)c1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddb420>
185,19,0.76,,COc1cccc(C(=O)NC2C=C(C(=O)S)CCC2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcdd3f0>
186,19,0.64,,NC(=O)C1CON1C(=O)N=CCC1CCCCCC1=O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f9d00>
187,19,0.61,,CCCCCCC(=O)C1(C)CC1CCC1(C)CC2CC21,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcdd990>
188,19,0.71,,CCOCC(OC(O)NC(=O)CC1CCCC1)C1CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcdd7b0>
189,19,0.72,,CC1C=CC=CC(CCCc2ccc3c(c2)CNC3)=C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcdd940>
190,20,0.85,,Cc1ccncc1C=CNc1ccc(CCCN)cc1,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbd0d0>
191,20,0.72,,CC1CC(C)CC(C#CCc2ccc(N(C)C)cc2)C1,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bc956c0>
192,20,0.74,,C#CC1CN(C(=O)Cc2cccc(C(=N)N)c2)CCS1,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bc95620>
193,20,0.69,,C.CC(Cc1cccc(F)c1)NC=CC(CO)C1CC1,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bcde480>
194,20,0.47,,CCC1C(C)SCC1SC=CC1=CC2=NN=NC2C=C1,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bcde8e0>
195,20,0.7,,O=C(Cc1cccs1)NC(=O)NC(COCS)C1CO1,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18f90>
196,20,0.67,,C.CN(C)C(=O)c1cccc(C#CC2NCNC2N)c1,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bcdea20>
197,20,0.55,,CC(C)C1CC1SCC(O)C(C)CC(=O)CC1CC1S,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bcde890>
198,20,0.62,,CC1=C(NC=CC(=O)N2CC2(C)CCO)C=CC=CC1,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bcde980>
199,20,0.56,,COCCCC1OC1C1(C)CC1CCC12CCCN1C2,purged,<rdkit.Chem.rdchem.Mol object at 0x7b045bcdea70>
